name,short_name,construct_id
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP8-P(Cym)-30-sSspGyrB,e22x30SspGyrB,A143
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP11-P(Cym)-30-(ST)sPhoRadA,e22x30STPhoRadA,A147
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP11-P(Cym)-32-(ST)sPhoRadA,e22x32STPhoRadA,A148
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP20-P(Cym)-30-sCth_Ter,e22x30CthTer,A149
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP20-P(Cym)-32-sCth_Ter,e22x32CthTer,A150
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP27-P(Cym)-30-sMP-M_DnaB,e22x30MPMDnaB,A151
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP29-P(Cym)-30-sSaP_dpol,e22x30SaPdpol,A152
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP31-P(Cym)-32-sNrdA-2,e22x32NrdA2,A153
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP31-P(Cym)-33-sNrdA-2,e22x33NrdA2,A154
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP33-P(Cym)-30-sMja_KlbA,e22x30MjaKlbA,A155
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP33-P(Cym)-33-sMja_KlbA,e22x33MjaKlbA,A156
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP2-P(Cym)-30-(ST)sNpuSsp.S2,e26x30STNpuSspS2,A158
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP2-P(Cym)-32-sNpuSsp.S2,e26x32NpuSspS2,A159
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP3-P(Cym)-32-sgp41-1,e26x32gp411,A161
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP4-P(Cym)-30-sgp41-8,e26x30gp418,A162
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP4-P(Cym)-32-sgp41-8,e26x32gp418,A163
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP5-P(Cym)-32-sNrdJ-1,e26x32NrdJ1,A164
